hash,timestamp,datetime,buyer,gas_used,tx_fee_eth,total_price_eth,nft_collection,nft_token_id,nft_token_address,nft_type,seller
0xca3bb664467a4e4bab30db55575fd8b8c4b9e23da680e9a161013f5ee8e8c3d0,1742382395,2025-03-19 11:06:35,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,231881,0.000230632384350394,1e-18,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0xdd76fbb9dc097d261506e1deafa44fbaad783960
0x7aea64efaa7609e12a89682d25498c9ec55a1d9d4cae740c4dc21e9d3969c917,1739222111,2025-02-10 21:15:11,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,258986,0.000348990418879284,5e-15,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0xdd76fbb9dc097d261506e1deafa44fbaad783960
0xfc9fb79c74942991140064b3b7bf44501c36d3b1f6e076f36bea390bd9b153fe,1738137023,2025-01-29 07:50:23,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,249053,0.000437814972813064,3.6792e-14,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0xdd76fbb9dc097d261506e1deafa44fbaad783960
0xf339254cc73c3499a4a6b2e364f7f9c7db18593f8744eb67ed2aee1d022cd68f,1738091759,2025-01-28 19:15:59,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,244181,0.001616976966285387,3.9e-17,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0xdd76fbb9dc097d261506e1deafa44fbaad783960
0x7612f3bd5c46a9fbeadbf10d820428c2292b47d3db0b9038870d49cebb62cf49,1738067219,2025-01-28 12:26:59,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,239453,0.000718359,1.7075e-14,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0xdd76fbb9dc097d261506e1deafa44fbaad783960
0x0a9127b5f75a961533a420a9606452699877c36ce970da9a7eef520b73d1c333,1737981071,2025-01-27 12:31:11,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,258974,0.001812818,2.802e-14,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0xdd76fbb9dc097d261506e1deafa44fbaad783960
0xe252a9116b3b647cc64b0b8f39b6893fcba907b7c82e638c057284f656a000a3,1737786719,2025-01-25 06:31:59,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,239477,0.001109719250851778,7.2445e-14,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0xdd76fbb9dc097d261506e1deafa44fbaad783960
0x6ba7a22f20d2b65815ba9b9298ee9e401d772fe6f385c0769f8ed8fe8c1f67d3,1737582539,2025-01-22 21:48:59,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,244265,0.00210492303940051,3.12269e-13,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0xdd76fbb9dc097d261506e1deafa44fbaad783960
0x55666bf9d00d11e7282100f2afcd9f0ece3d59443deee4b9b9474fca09a0149b,1737569627,2025-01-22 18:13:47,0x0000000000d6A44FaCfBe05Faaee691aFaCC0f81,449583,0.005304382834532703,47.531970712172736,Unknown,0,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,ERC20,0xdd76fbb9dc097d261506e1deafa44fbaad783960
0x1a75daaca0f00f77e24c6dd3a267309b38121fc771ff6fccb3dd9e4fe800f419,1737535055,2025-01-22 08:37:35,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,259034,0.00217289118638755,1.070913e-12,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0xdd76fbb9dc097d261506e1deafa44fbaad783960
