hash,timestamp,datetime,seller,gas_used,tx_fee_eth,total_price_eth,nft_collection,nft_token_id,nft_token_address,nft_type,buyer
0xd6bb3e64a6ce34767c3909219f1903cc9b58316166a32e72b71c479cbbfee22b,1746913763,2025-05-10 21:49:23,0x6A92B9330849Ec54f8b2Cb0876a42cfFf4993eFa,218490,0.00076083047918091,0.000759,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0xec6115df19ec539cc7bb37a1ec87f3f96bb5468176c30de3af0d4367c2721bc9,1746913739,2025-05-10 21:48:59,0x6A92B9330849Ec54f8b2Cb0876a42cfFf4993eFa,218490,0.00073752740987775,0.000575,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0x8495808cb32d4eda79e18b5331957d8dd3dc2b705627a143768af1ff96022528,1746904799,2025-05-10 19:19:59,0x545f801755eCA0955A8eEc358774c7425E1db0e4,293709,0.001116281842162539,0.000477,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0xc821458828c8e42554df1eed8905d47094f85d1d2c9a9648890086d31e7a4456,1746904739,2025-05-10 19:18:59,0x350e60A5BF976B01F67bB715951137cfB233CF3B,322129,0.001317409485963181,0.000342,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0x911af315018be855a72c0461d5e644190ad54cf4f7344da58ab37204236cb2e2,1746896783,2025-05-10 17:06:23,0x173f6B7147130E030fEea13b4f60C900170524A5,272575,0.001124588776283675,0.00121,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0xa24b0cddab983b1a328bc86232562bb3c2a48c7712f6253a4cf919a9ec3f3904,1746892259,2025-05-10 15:50:59,0x173f6B7147130E030fEea13b4f60C900170524A5,293700,0.0018963762711102,0.0005,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0x8e98832a3f2ca5a591c6417327a3acf6b6a2d863d32541dc60d893a9cd926f0f,1746876671,2025-05-10 11:31:11,0x9F261253416398376Da291269a3260FB26CD463a,249207,0.000911613777382497,0.00022,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0x84c41306ff17f0305018a44f4954ebc40d1a28c7151694d45ef656f3fa956779,1746876347,2025-05-10 11:25:47,0x1800C3c84c4B05AB1566d44d453B665428648C17,271071,0.000908959211795565,0.00022,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0x3ff3986d2bceb7973c9d12ef40a40c74494b04a9850d61f34f1f7ca61136f4b9,1746851471,2025-05-10 04:31:11,0xBf2e5125DBCFDfa61a8e9eB4Fdc7d1b92bb59f17,343204,0.000828408784387908,0.00049,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0xd53446387d0fe8d84a59b29d3bd71183f9c665fd3cfb418699ef18db81954a38,1746841415,2025-05-10 01:43:35,0x173f6B7147130E030fEea13b4f60C900170524A5,443530,0.00043276960826306,0.00017,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
