hour,transactions
0,188
1,210
2,208
3,220
4,208
5,210
6,185
7,202
8,214
9,221
10,181
11,202
12,223
13,200
14,215
15,213
16,191
17,251
18,194
19,239
20,191
21,208
22,210
23,216
